1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha aquest secret entre nosaltres, i mai no podrem tornar a ser el mateix fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem tornar a ser el mateix fins que no s'hagi aclarit.	Correcte.
2	Have seen the face again at the window.	Han vist de nou la cara a la finestra.	Han vist de nou la cara a la finestra.	Correcte.
3	How long is it since your wife asked you for a hundred pounds?	Quant de temps fa que la teva dona et va preguntar per cent lliures?	Quant de temps fa que la vostra dona us va demanar cent lliures?	Expressió. Postedició mínima.
4	As we looked, we saw a dark blur moving across the blind.	Mentre ens miràvem, vam veure una taca fosca que es movia a través del cortinatge.	Mentre miràvem, vam veure una taca fosca que es movia a través del cortinatge.	Pronom reflexiu sobrer >> canvi semàntic. Postedició mínima.
5	It has been a standing jest in the family that nothing could ever wake me during the night.	Ha estat una broma a la família que res no em podria despertar durant la nit.	Ha estat una broma constant a la família que res no em podria despertar durant la nit.	Omissió (standing). Postedició mínima.
6	It is often so in such matches, and little Lucy is darker far than ever her father was.	Sovint és així, en aquests llumins, i la petita Lucy és més fosca que mai el seu pare.	Sovint és així, en aquestes unions, i la petita Lucy és més fosca que mai ho fou el seu pare.	Lèxic (matches > *llumins). Construcció complicada. Postedició poca.
7	Having no success, she goes again next morning, and her husband meets her, as he has told us, as she comes out.	No tenir èxit, se'n torna l'endemà al matí, i el seu marit l'acull, tal com ell ens ha dit, mentre ella surt.	No tenint èxit, hi torna l'endemà al matí, i el seu marit se la troba, tal com ell ens ha dit, mentre ella surt.	Expressió causal mal resolta. Lèxic (meet > *acollir). Postedició poca.
8	Then suddenly, with a fierce gesture of his closed hand, like one who throws reserve to the winds, he began.	Després, tot d'una, amb un gest ferotge de la mà tancada, com qui llença reserva als vents, va començar.	Després, tot d'una, amb un gest ferotge amb la mà tancada, com qui agafa el bou per les banyes, va començar.	Preposició (*de/amb). Frase feta. Postedició moderada.
9	Three days later, however, the nurse and child only just escaped from the back door as you rushed in at the front one.	Al cap de tres dies, però, la infermera i la nena només s'han escapat de la porta del darrere, com et vas precipitar al davant.	Al cap de tres dies, però, la infermera i la nena s’escapaven per la porta del darrere mentre vós entràveu corrents per la del davant.	Expressió de simultaneïtat mal resolta. Postedició moderada.
10	Then, thinking that I was still asleep, she slipped noiselessly from the room, and an instant later I heard a sharp creaking which could only come from the hinges of the front door.	Després, pensant que jo encara dormia, ella es va esmunyir sense fer soroll de l'habitació, i un instant després vaig sentir un cruixit agut que només podia venir de les frontisses de la porta d'entrada.	Després, pensant que jo encara dormia, ella es va esmunyir sense fer soroll de l'habitació, i un instant després vaig sentir un cruixit agut que només podia venir de les frontisses de la porta d'entrada.	Correcte.
11	I really think that I should have fainted if I had not gone out.	De debò que crec que m'hauria d'haver desmaiat si no hagués sortit.	De debò que crec que m'hauria desmaiat si no hagués sortit.	Traducció literal. Postedició mínima.
12	When we married, my wife made over all her property to me—rather against my will, for I saw how awkward it would be if my business affairs went wrong.	Quan ens vam casar, la meva dona va fer tota la meva propietat a mi, més aviat en contra de la meva voluntat, perquè vaig veure com seria de incòmoda si els meus afers empresarials anessin malament.	Quan ens vam casar, la meva dona em transferí tota la seva propietat, més aviat en contra de la meva voluntat, perquè vaig veure com seria d’incòmode si els meus afers empresarials anessin malament.	Phrasal verb (make over). Postedició poca.
13	Well, I think that you are in the right.	Bé, em penso que sou a la dreta.	Bé, crec que teniu raó.	Locució. Postedició mínima.
14	But if I am not mistaken I hear him upon the stair, so we shall have something more interesting than his pipe to study.	Però si no m'equivoco el sento a l'escala, així tindrem alguna cosa més interessant que la seva pipa per estudiar.	Però si no m'equivoco sento que ha pujat per l’escala, així tindrem alguna cosa més interessant que la seva pipa per estudiar.	Correcte. Pèrdua de manera i direcció de moviment.  Possibilitat (shall). Postedició mínima.
15	He held it up and tapped on it with his long, thin fore-finger, as a professor might who was lecturing on a bone.	El va aixecar i li va donar uns copets amb el dit llarg i prim, com un professor que estava alliçonant sobre un os.	La va aixecar i li va donar uns copets amb el dit llarg i prim, com si un professor donés una lliçó sobre un os.	Postedició mínima.
16	My friend threw out the information in a very offhand way, but I saw that he cocked his eye at me to see if I had followed his reasoning.	El meu amic va llençar la informació d'una manera molt brusca, però vaig veure que em decantava l'ull per veure si jo havia seguit el seu raonament.	El meu amic va llançar la informació d'una manera molt despreocupada, però vaig veure que em mirava de cantell per veure si jo havia seguit el seu raonament.	Lèxic (offhand > *brusca). Frase feta. Postedició moderada.
17	Of course, legally, we are putting ourselves hopelessly in the wrong; but I think that it is worth it.	És clar que, des del punt de vista legal, estem posant-nos irremeiablement en el dolent; però crec que val la pena.	És clar que, des del punt de vista legal, estem posant-nos irremeiablement en un error; però crec que val la pena.	Expressió (putting in the wrong). Postedició mínima.
18	And this not so much for the sake of his reputation—for, indeed, it was when he was at his wits' end that his energy and his versatility were most admirable—but because where he failed it happened too often that no one else succeeded, and that the tale was left forever without a conclusion.	I això no tant per l'amor de la seva reputació -perquè, efectivament, ho era quan estava a la seva intel·ligència -que la seva energia i la seva versatilitat eren d'allò més admirables -, però perquè allà on va fallar li va passar massa sovint que ningú més no se'n va sortir, i que el relat quedava abandonat per sempre més sense cap conclusió.	I això no tant per la seva reputació -perquè, efectivament, fou quan estava al límit -que la seva energia i la seva versatilitat eren d'allò més admirables -, sinó perquè allà on va fallar li va passar massa sovint que ningú més no se'n sortia, i que el relat quedava abandonat per sempre més sense cap conclusió.	Expressió (wits’ end). Postedició poca.
19	I felt that I should have no peace until I knew, and yet I shrank from asking her again after once she had told me what was false.	Jo sentia que no hauria de tenir pau fins que ho sabés, i, tanmateix, m'escapolia de tornar-li a preguntar després d'una vegada que m'havia dit el que era fals.	Jo sentia que no podria tenir pau fins que ho sabés, i, tanmateix, em desdeia de tornar-li a preguntar després que m'havia dit una falsedat.	Temps verbals. Postedició poca.
20	You know that I would not have a secret from you if it were not for your own sake.	Ja saps que jo no tindria un secret de tu si no fos pel teu bé.	Ja saps que jo no tindria un secret per a tu si no fos pel teu bé.	Preposició (*de/per a). Postedició mínima.
21	Save for the occasional use of cocaine, he had no vices, and he only turned to the drug as a protest against the monotony of existence when cases were scanty and the papers uninteresting.	Llevat de l'ús ocasional de la cocaïna, no tenia vicis, i només es girava cap a la droga com una protesta contra la monotonia de l'existència quan els casos eren escassos i els papers poc interessants.	Llevat de l'ús ocasional de la cocaïna, no tenia vicis, i només es girava cap a la droga com una protesta contra la monotonia de l'existència quan els casos eren escassos i els papers poc interessants.	Correcte.
22	My mind was instantly filled with suspicion.	La meva ment es va omplir immediatament de sospita.	La meva ment es va omplir immediatament de sospita.	Correcte.
23	I stood at the door for a few minutes, and now I am quite myself again.	Em vaig quedar a la porta uns minuts, i ara sóc ben bé jo mateixa.	Em vaig quedar a la porta uns minuts, i ara sóc ben bé jo mateix altre cop.	Omissió (again). Gènere. Postedició mínima.
